IP: 117.208.94.124 TIME: Jan 4 0:29:37 2014 REFERRER: http://test.schoolgennie.com/?page=profile-school& SEARCHSTRING: page=common-imagesize&width=40&height=40&path=http://test.schoolgennie.com/upload/photo/faculty/small/t6nxcv_Tulips.jpg USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:37 2014 REFERRER: http://test.schoolgennie.com/?page=profile-school& SEARCHSTRING: page=common-imagesize&width=30&height=30&path=http://test.schoolgennie.com/upload/photo/school/small/mk5z7n_Penguins.jpg USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:37 2014 REFERRER: http://test.schoolgennie.com/?page=profile-school& SEARCHSTRING: page=common-imagesize&width=200&height=200&path=http://test.schoolgennie.com/upload/photo/school/small/mk5z7n_Penguins.jpg USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:43 2014 REFERRER: http://test.schoolgennie.com/?page=profile-school& SEARCHSTRING: page=profile-school& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:44 2014 REFERRER: http://test.schoolgennie.com/?page=profile-school& SEARCHSTRING: page=login-signin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:53 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:55 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:29:55 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 50.62.103.1 TIME: Jan 4 0:33:56 2014 REFERRER:  SEARCHSTRING: page=sgapp2/.errordocs/403 USERAGENT: LOGINID:
IP: 50.62.103.1 TIME: Jan 4 0:33:56 2014 REFERRER:  SEARCHSTRING: page=sgapp2/.errordocs/403 USERAGENT: LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:56:37 2014 REFERRER: http://test.schoolgennie.com/?page=administration-faculty&action=insert&section=insert& SEARCHSTRING: page=login-signin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:56:49 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:56:56 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:00 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:01 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:01 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:02 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:02 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:02 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:02 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:03 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:03 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:03 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:03 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:04 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:04 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:05 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:05 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-ajax USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:28 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:57:37 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:58:28 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:58:35 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 0:58:44 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:00:11 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:00:18 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:02:02 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:02:57 2014 REFERRER: http://test.schoolgennie.com/?page=login-admin& SEARCHSTRING: page=login-signin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:03:32 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:03:57 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:04:05 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:04:11 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:05:19 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:05:49 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 117.208.94.124 TIME: Jan 4 1:06:32 2014 REFERRER: http://test.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=login-admin& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
